what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.move.element",1315490147443
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315490158821
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315490161405
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.inline",1315490161423
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315490167303
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315490194900
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315490195585
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315490225235
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1315490227098
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1315490227099
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315490252750
started,bundle,org.modelgoon.plugin,4.4.0,"org.modelgoon.plugin",1315490260375
started,bundle,org.eclipse.gef,3.6.2.v20110110-2020,"org.eclipse.gef",1315490268982
started,bundle,org.eclipse.draw2d,3.6.2.v20110128-0100,"org.eclipse.draw2d",1315490269030
opened,editor,org.modelgoon.plugin,4.4.0,"org.modelgoon.classdiagram.editor",1315490270715
activated,editor,org.modelgoon.plugin,4.4.0,"org.modelgoon.classdiagram.editor",1315490270728
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315490270779
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1315490270805
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1315490277240
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315490277474
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315490277490
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1315490288950
activated,editor,org.modelgoon.plugin,4.4.0,"org.modelgoon.classdiagram.editor",1315490295107
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1315490309649
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1315490310174
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1315490310584
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1315490311398
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1315490311459
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1315490326284
activated,editor,org.modelgoon.plugin,4.4.0,"org.modelgoon.classdiagram.editor",1315490326891
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1315490345706
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1315490346703
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1315490347877
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1315490348718
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1315490348981
activated,editor,org.modelgoon.plugin,4.4.0,"org.modelgoon.classdiagram.editor",1315490353931
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1315490358555
activated,editor,org.modelgoon.plugin,4.4.0,"org.modelgoon.classdiagram.editor",1315490363955
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1315490366426
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1315490375146
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1315490376629
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1315490388779
activated,editor,org.modelgoon.plugin,4.4.0,"org.modelgoon.classdiagram.editor",1315490390346
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315490397507
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315490399757
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1315490409406
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1315490435388
